experiment,image,backend,scale_px_per_mm,status,n_gt_px,n_auto_px,under_px,over_px,under_cov_frac,over_cov_frac,patch_area_err_pct,dice,iou,area_gt_mm2,area_auto_mm2,area_rel_err,cri_lambda3,under_cov_mm2,over_cov_mm2,hausdorff_mm,avg_surf_dist_mm,perimeter_gt_mm,perimeter_auto_mm,compactness_gt,compactness_auto,bbox_gt_major_mm,bbox_gt_minor_mm,bbox_auto_major_mm,bbox_auto_minor_mm,aspect_ratio_gt,aspect_ratio_auto,bbox_auto_x_mm,bbox_auto_y_mm,signed_area_err_pct,under_pct,over_pct,is_outlier
A,case_140,Watershed,,ok,8349.0,8138.0,248.0,37.0,0.029704,0.004432,2.53,0.9827,0.966,8349.0,8138.0,0.0253,0.0935,,,2.608,0.831,324.16,319.61,0.9985,1.0011,106.08,97.53,105.95,95.96,0.9194,0.9057,105.95,95.96,-2.5272487723080608,2.9704,0.44320000000000004,False
A,case_141,SAM,,ok,23536.0,23243.0,686.0,393.0,0.029147,0.016698,1.24,0.9769,0.9549,23536.0,23243.0,0.0124,0.1041,,,3.492,1.426,738.15,738.95,0.5428,0.5349,297.62,185.21,299.28,183.8,0.6223,0.6141,299.28,183.8,-1.244901427600272,2.9147,1.6698000000000002,False
A,case_141,GrabCut,,ok,23536.0,23555.0,426.0,445.0,0.0181,0.018907,0.08,0.9815,0.9637,23536.0,23555.0,0.0008,0.0732,,,4.213,1.316,738.15,738.87,0.5428,0.5422,297.62,185.21,296.87,183.73,0.6223,0.6189,296.87,183.73,0.08072739632902788,1.81,1.8907,False
A,case_141,Watershed,,ok,23536.0,22856.0,951.0,271.0,0.040406,0.011514,2.89,0.9737,0.9487,23536.0,22856.0,0.0289,0.1327,,,7.048,1.743,738.15,749.09,0.5428,0.5119,297.62,185.21,296.48,183.75,0.6223,0.6198,296.48,183.75,-2.8891910265125764,4.0405999999999995,1.1514,False
A,case_142,SAM,,ok,2609.0,2509.0,102.0,2.0,0.039095,0.000767,3.83,0.9797,0.9602,2609.0,2509.0,0.0383,0.1181,,,1.297,0.75,172.37,167.76,1.1035,1.1203,57.19,52.59,55.36,51.49,0.9196,0.9301,51.49,55.36,-3.8328861632809503,3.9095,0.0767,False
A,case_142,GrabCut,,ok,2609.0,2574.0,55.0,20.0,0.021081,0.007666,1.34,0.9855,0.9715,2609.0,2574.0,0.0134,0.0709,,,1.031,0.48,172.37,170.89,1.1035,1.1076,57.19,52.59,56.68,52.16,0.9196,0.9202,52.16,56.68,-1.3415101571483325,2.1081,0.7666000000000001,False
A,case_142,Watershed,,ok,2609.0,2401.0,211.0,3.0,0.080874,0.00115,7.97,0.9573,0.9181,2609.0,2401.0,0.0797,0.2438,,,1.749,0.813,172.37,167.46,1.1035,1.0759,57.19,52.59,54.32,52.34,0.9196,0.9636,52.34,54.32,-7.972403219624377,8.0874,0.11499999999999999,False
A,case_143,SAM,,ok,8109.0,8033.0,266.0,190.0,0.032803,0.023431,0.94,0.9718,0.9451,8109.0,8033.0,0.0094,0.1218,,,2.766,1.153,340.32,335.22,0.8798,0.8983,129.61,94.71,129.17,90.21,0.7307,0.6984,90.21,129.17,-0.9372302380071525,3.2803,2.3431,False
A,case_143,GrabCut,,ok,8109.0,8535.0,166.0,592.0,0.020471,0.073005,5.25,0.9545,0.9129,8109.0,8535.0,0.0525,0.1344,,,6.713,2.083,340.32,351.07,0.8798,0.8702,129.61,94.71,136.2,93.42,0.7307,0.6859,93.42,136.2,5.253422123566407,2.0471,7.3005,False
A,case_143,Watershed,,ok,8109.0,8070.0,308.0,269.0,0.037982,0.033173,0.48,0.9643,0.9311,8109.0,8070.0,0.0048,0.1471,,,3.373,1.491,340.32,338.99,0.8798,0.8825,129.61,94.71,132.41,90.93,0.7307,0.6867,90.93,132.41,-0.4809470958194599,3.7982,3.3173,False
A,case_144,SAM,,ok,21160.0,21603.0,197.0,640.0,0.00931,0.030246,2.09,0.9804,0.9616,21160.0,21603.0,0.0209,0.0582,,,4.761,1.614,568.52,574.17,0.8227,0.8235,230.57,119.12,233.76,118.89,0.5166,0.5086,118.89,233.76,2.093572778827977,0.931,3.0246,False
A,case_144,GrabCut,,ok,21160.0,20791.0,787.0,418.0,0.037193,0.019754,1.74,0.9713,0.9442,21160.0,20791.0,0.0174,0.1313,,,6.328,1.974,568.52,560.18,0.8227,0.8326,230.57,119.12,223.4,118.14,0.5166,0.5288,118.14,223.4,-1.7438563327032135,3.7192999999999996,1.9754,False
A,case_144,Watershed,,ok,21160.0,22680.0,359.0,1879.0,0.016966,0.0888,7.18,0.949,0.9029,21160.0,22680.0,0.0718,0.1397,,,9.798,3.709,568.52,594.33,0.8227,0.8069,230.57,119.12,241.25,115.73,0.5166,0.4797,115.73,241.25,7.183364839319471,1.6965999999999999,8.88,False
A,case_145,SAM,,ok,1034.0,924.0,122.0,12.0,0.117988,0.011605,10.64,0.9316,0.8719,1034.0,924.0,0.1064,0.3656,,,2.229,0.979,117.39,110.34,0.9429,0.9536,47.01,24.37,44.81,23.89,0.5183,0.5332,23.89,44.81,-10.638297872340425,11.7988,1.1605,False
A,case_145,GrabCut,,ok,1034.0,894.0,159.0,19.0,0.153772,0.018375,13.54,0.9077,0.831,1034.0,894.0,0.1354,0.4797,,,5.334,1.426,117.39,106.52,0.9429,0.99,47.01,24.37,41.75,25.03,0.5183,0.5996,25.03,41.75,-13.539651837524177,15.377199999999998,1.8375,False
A,case_145,Watershed,,ok,1034.0,1014.0,158.0,138.0,0.152805,0.133462,1.93,0.8555,0.7474,1034.0,1014.0,0.0193,0.5919,,,9.908,2.14,117.39,126.99,0.9429,0.7902,47.01,24.37,52.64,26.87,0.5183,0.5106,26.87,52.64,-1.9342359767891684,15.2805,13.3462,False
A,case_146,SAM,,ok,6352.0,6116.0,238.0,2.0,0.037469,0.000315,3.72,0.9808,0.9622,6352.0,6116.0,0.0372,0.1127,,,1.67,0.909,284.23,278.21,0.9881,0.9929,100.79,77.95,98.3,76.85,0.7734,0.7818,76.85,98.3,-3.71536523929471,3.7469,0.0315,False
A,case_146,GrabCut,,ok,6352.0,6415.0,73.0,136.0,0.011492,0.021411,0.99,0.9836,0.9678,6352.0,6415.0,0.0099,0.0559,,,1.662,0.673,284.23,285.06,0.9881,0.9921,100.79,77.95,100.08,79.51,0.7734,0.7945,79.51,100.08,0.9918136020151134,1.1492,2.1411,False
